"","V1","V2"
"1","P._greenwoodi","S._4_{obliqua}"
"2","P._xanthocephalus","S._2_{aff._obliqua}"
"3","P._plebejus","S._14_{hesperidiiformis}"
"4","P._rieki","S._12_{xylosycia}"
"5","P._blandus","S._11_{glandifera}"
"6","P._regalis","S._8_{pleurocarpa}"
"7","P._nitens","S._10_{crassipes}"
"8","P._schizodontes","S._9_{triradiata}"
"9","P._imperialis","S._15_{rubiginosa}"
"10","P._athysanus","S._1_{brachypoda}"
"11","P._astrabocheilus","S._7_{subpuberula}"
"12","P._proximus","S._6_{lilliputiana}"
"13","P._macrocainus","S._5_{cerasicarpa}"
"14","P._cuneatus","S._3_{playpoda}"
"15","P._froggatti","S._australis_{macrophylla}"
